;model_name;scaler;eval_training_metric;lags;k_fold;steps_param_trainig;best_params;eval_best_score;test_rmse;test_mape;test_r2;metrica_ponderada
0;MlpRegressorModel_0;MinMaxScaler();neg_root_mean_squared_error;1;3;1;{'activation': 'identity', 'alpha': 0.0001, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'};-0.04302552808498709;589.7635990167712;0.3130156369023706;-11.548677473050116;200.54176404224123
1;MlpRegressorModel_1;StandardScaler();neg_root_mean_squared_error;1;3;1;{'activation': 'logistic', 'alpha': 5e-05, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'};-0.10957738025375703;821.2590179115608;0.43927710905289513;-23.33337406418869;281.67722302826746
2;MlpRegressorModel_2;MinMaxScaler();neg_root_mean_squared_error;2;3;1;{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (100,), 'solver': 'adam'};-0.03168641050324913;791.9753320029035;0.41995527982796216;-21.628998769916777;271.34142868421605
3;MlpRegressorModel_3;StandardScaler();neg_root_mean_squared_error;2;3;1;{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'};-0.09093559639662659;424.3323727925883;0.21430842834892427;-5.496124822260424;143.3476020143992
4;MlpRegressorModel_4;MinMaxScaler();neg_root_mean_squared_error;3;3;1;{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'};-0.01819459687202492;1004.9459209529196;0.512015561201839;-35.43572478747406;346.9645537671984
5;MlpRegressorModel_5;StandardScaler();neg_root_mean_squared_error;3;3;1;{'activation': 'relu', 'alpha': 0.0005, 'hidden_layer_sizes': (1,), 'solver': 'lbfgs'};-0.15195323640302782;405.50713613677715;0.1907921616325558;-4.932517558128507;136.87681528551272
6;MlpRegressorModel_6;MinMaxScaler();neg_root_mean_squared_error;4;3;1;{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'};-0.033721841134435514;880.7303633556091;0.45645611021391924;-26.985171165532098;302.7239968771184
7;MlpRegressorModel_7;StandardScaler();neg_root_mean_squared_error;4;3;1;{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'};-0.10319106572394203;509.8533864297319;0.2508079772046762;-8.378484089630966;172.82755949885586
8;MlpRegressorModel_8;MinMaxScaler();neg_root_mean_squared_error;5;3;1;{'activation': 'relu', 'alpha': 5e-05, 'hidden_layer_sizes': (100,), 'solver': 'adam'};-0.0405179209822748;493.772231425367;0.25319691236167435;-7.796205252641608;167.27387786345676
9;MlpRegressorModel_9;StandardScaler();neg_root_mean_squared_error;5;3;1;{'activation': 'tanh', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'lbfgs'};-0.050340450243829014;604.5144616202277;0.29065076558853303;-12.184249685781804;205.66312069053268
10;MlpRegressorModel_10;MinMaxScaler();neg_root_mean_squared_error;6;3;1;{'activation': 'logistic', 'alpha': 0.0005, 'hidden_layer_sizes': (50,), 'solver': 'adam'};-0.03499025778385031;331.2098446450719;0.15305789132745776;-2.957751329609823;111.4402179553364
11;MlpRegressorModel_11;StandardScaler();neg_root_mean_squared_error;6;3;1;{'activation': 'tanh', 'alpha': 5e-05, 'hidden_layer_sizes': (100,), 'solver': 'adam'};-0.11221431272398452;385.318690153511;0.18754416906958013;-4.356513207776693;129.95424917678574
12;MlpRegressorModel_12;MinMaxScaler();neg_root_mean_squared_error;7;3;1;{'activation': 'identity', 'alpha': 0.0005, 'hidden_layer_sizes': (100,), 'solver': 'lbfgs'};-0.009431501542104185;542.0464776617968;0.24153255252934205;-9.600224978265738;183.96274506419726
