;model_name;scaler;eval_training_metric;lags;k_fold;steps_param_trainig;best_params;eval_best_score;test_rmse;test_mape;test_r2;metrica_ponderada
0;XgboostRegressorModel_0;None;neg_root_mean_squared_error;1;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 500};-50.15846082899308;448.17395592468176;0.22637710166763933;-6.246616197179015;151.5489830745095
1;XgboostRegressorModel_1;MinMaxScaler();neg_root_mean_squared_error;1;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.02263316325370827;457.7801678893031;0.22204444153005248;-6.560595051927813;154.85426912758697
2;XgboostRegressorModel_2;StandardScaler();neg_root_mean_squared_error;1;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-0.07904703015197982;414.51334468403945;0.19773653641741326;-5.198963265742113;139.970014828733
3;XgboostRegressorModel_3;None;neg_root_mean_squared_error;2;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-43.78191460503475;499.5655238772619;0.26367623046236677;-8.00382297623342;169.27767436131924
4;XgboostRegressorModel_4;MinMaxScaler();neg_root_mean_squared_error;2;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-0.030587039614433913;420.66616869003246;0.1997265439359962;-5.384357556160069;142.0834175967095
5;XgboostRegressorModel_5;StandardScaler();neg_root_mean_squared_error;2;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-0.12832262732551256;419.23977057175745;0.19505325657858869;-5.341134702240651;141.5919861768589
6;XgboostRegressorModel_6;None;neg_root_mean_squared_error;3;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-55.40572015358983;509.6768704615156;0.2610991950229224;-8.371991377501994;172.76998701134684
7;XgboostRegressorModel_7;MinMaxScaler();neg_root_mean_squared_error;3;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-0.02829828085970369;427.75393020403584;0.20338189863955872;-5.6013087648430115;144.5195402891728
8;XgboostRegressorModel_8;StandardScaler();neg_root_mean_squared_error;3;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-0.1108783517867052;425.55764068017146;0.20165886184382992;-5.533694356164944;143.76433129939343
9;XgboostRegressorModel_9;None;neg_root_mean_squared_error;4;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-68.33321038796483;465.18204387910635;0.2216696429640085;-6.8070671458036305;157.403593555958
10;XgboostRegressorModel_10;MinMaxScaler();neg_root_mean_squared_error;4;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.02499962840567138;435.0333777396952;0.20309337265006552;-5.827900569163423;147.02145722716958
11;XgboostRegressorModel_11;StandardScaler();neg_root_mean_squared_error;4;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.09604888695821996;435.39474233133757;0.2033525838888663;-5.8392486008126925;147.14578117201305
12;XgboostRegressorModel_12;None;neg_root_mean_squared_error;5;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-57.21797601296483;458.8561312458372;0.2217881500450103;-6.596177560452855;155.22469898544503
13;XgboostRegressorModel_13;MinMaxScaler();neg_root_mean_squared_error;5;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.03614229365723565;433.2609100301797;0.20235067690121772;-5.772375730472657;146.41187881251787
14;XgboostRegressorModel_14;StandardScaler();neg_root_mean_squared_error;5;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-0.14674211575531748;432.82249640967603;0.20202889701541465;-5.758676827625566;146.26106737810565
15;XgboostRegressorModel_15;None;neg_root_mean_squared_error;6;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-57.557101779513914;455.1802521942856;0.21402153315583866;-6.474959668795191;153.95641113207887
16;XgboostRegressorModel_16;MinMaxScaler();neg_root_mean_squared_error;6;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.047292733237517225;410.79001059325753;0.1842250399450185;-5.088100005257745;138.6874452128201
17;XgboostRegressorModel_17;StandardScaler();neg_root_mean_squared_error;6;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.1864800246391165;409.92873914442043;0.18383005076105324;-5.062597876428548;138.39172235720335
18;XgboostRegressorModel_18;None;neg_root_mean_squared_error;7;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-60.518161349826414;451.00389870967894;0.20764070724760733;-6.338420975669453;152.51665346419867
19;XgboostRegressorModel_19;MinMaxScaler();neg_root_mean_squared_error;7;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.0489103834285064;415.48829936400114;0.18708904175301677;-5.228158059424844;140.30118215505968
20;XgboostRegressorModel_20;StandardScaler();neg_root_mean_squared_error;7;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100};-0.18850531869560325;520.6641283125292;0.2510133008780543;-8.780416386854174;176.56518600008715
21;XgboostRegressorModel_21;None;neg_root_mean_squared_error;8;3;1;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};-89.0245352577565;376.11650257398577;0.16785890607261916;-4.103719618126276;126.79602703272822
22;XgboostRegressorModel_22;MinMaxScaler();neg_root_mean_squared_error;8;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-0.02511938814855848;413.49603338443984;0.18610015123862328;-5.168573234009311;139.6169022565626
23;XgboostRegressorModel_23;StandardScaler();neg_root_mean_squared_error;8;3;1;{'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300};-0.10104632299795191;405.4823840809053;0.181680292141507;-4.931793341406413;136.86528590481774
24;XgboostRegressorModel_24;None;neg_root_mean_squared_error;9;3;1;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};-74.81424879942317;379.92637339311534;0.1749900971821399;-4.207639514590935;128.10300100162948
25;XgboostRegressorModel_25;MinMaxScaler();neg_root_mean_squared_error;9;3;1;{'learning_rate': 0.1, 'max_depth': 10, 'n_estimators': 100};-0.022308848524803786;399.1753514947651;0.17728611415599882;-4.748697578129293;134.70044506235013
26;XgboostRegressorModel_26;StandardScaler();neg_root_mean_squared_error;9;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-0.09083711571076429;410.21541343185396;0.1845455435913624;-5.071080319703691;138.49034643171635
27;XgboostRegressorModel_27;None;neg_root_mean_squared_error;10;3;1;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 300};-28.189940531193997;413.0813996984381;0.18490784526751408;-5.156208346884104;139.4741719635299
28;XgboostRegressorModel_28;MinMaxScaler();neg_root_mean_squared_error;10;3;1;{'learning_rate': 0.1, 'max_depth': 5, 'n_estimators': 100};-0.02079193018348502;425.91831645900027;0.18949497600890758;-5.544774142800909;143.88419519260336
29;XgboostRegressorModel_29;StandardScaler();neg_root_mean_squared_error;10;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.08612673005836428;433.06669691544266;0.1947366975242909;-5.766305534152905;146.3425797157066
30;XgboostRegressorModel_30;None;neg_root_mean_squared_error;11;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 500};-39.94207085503475;517.8366676301985;0.22878322798711603;-8.674479931386363;175.57997692985734
31;XgboostRegressorModel_31;MinMaxScaler();neg_root_mean_squared_error;11;3;1;{'learning_rate': 0.01, 'max_depth': 10, 'n_estimators': 300};-0.023564140307110664;561.4611378057308;0.24947448418559345;-10.373167423537287;190.6945932378179
32;XgboostRegressorModel_32;StandardScaler();neg_root_mean_squared_error;11;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.08324542160002231;575.9844904345873;0.2543006208264774;-10.96915822598282;195.73598309379886
33;XgboostRegressorModel_33;None;neg_root_mean_squared_error;12;3;1;{'learning_rate': 0.1, 'max_depth': 3, 'n_estimators': 500};-39.87152865283383;427.9323540588894;0.19206123595323407;-5.606816962528415;144.5770774191237
34;XgboostRegressorModel_34;MinMaxScaler();neg_root_mean_squared_error;12;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.020188292172751938;443.5711450771013;0.2010937807237471;-6.098532963462362;149.95692394042914
35;XgboostRegressorModel_35;StandardScaler();neg_root_mean_squared_error;12;3;1;{'learning_rate': 0.01, 'max_depth': 5, 'n_estimators': 300};-0.0816678513842654;442.39374814706497;0.200416845244082;-6.060898871506481;149.55168795460517
